open_time,open,high,low,close,close_time
1579237200000,166.78,170.54,166.12,170.08,1579240799999
1579240800000,170.1,171.57,167.68,168.19,1579244399999
1579244400000,168.19,171.55,167.68,171.23,1579247999999
1579248000000,171.15,174.79,169.93,171.8,1579251599999
1579251600000,171.77,173.41,171.21,172.19,1579255199999
1579255200000,172.23,172.8,169.88,170.93,1579258799999
1579258800000,170.91,171.3,170.0,170.1,1579262399999
1579262400000,170.11,170.4,167.37,168.24,1579265999999
1579266000000,168.23,169.7,168.11,168.75,1579269599999
1579269600000,168.73,168.79,165.23,166.38,1579273199999
1579273200000,166.42,168.8,166.15,168.5,1579276799999
1579276800000,168.49,171.61,167.79,170.09,1579280399999
1579280400000,170.21,171.71,169.53,170.47,1579283999999
1579284000000,170.47,173.5,170.39,172.6,1579287599999
1579287600000,172.58,173.9,167.26,169.43,1579291199999
1579291200000,169.44,170.83,168.61,169.23,1579294799999
1579294800000,169.27,171.66,169.18,171.53,1579298399999
1579298400000,171.52,173.56,170.87,171.95,1579301999999
1579302000000,172.01,172.73,170.0,170.06,1579305599999
1579305600000,170.06,174.0,169.22,173.4,1579309199999
1579309200000,173.32,173.88,171.3,172.75,1579312799999
1579312800000,172.78,173.04,170.64,171.28,1579316399999
1579316400000,171.34,172.51,170.66,172.09,1579319999999
1579320000000,172.06,172.06,168.07,168.76,1579323599999
1579323600000,168.75,169.79,167.17,168.24,1579327199999
1579327200000,168.25,168.4,165.08,168.08,1579330799999
1579330800000,168.12,169.26,167.0,168.19,1579334399999
1579334400000,168.28,169.07,167.38,168.63,1579337999999
1579338000000,168.63,170.34,168.26,169.45,1579341599999
1579341600000,169.46,170.18,168.88,169.15,1579345199999
1579345200000,169.15,169.33,168.02,169.27,1579348799999
1579348800000,169.23,171.43,169.02,171.17,1579352399999
1579352400000,171.17,176.27,170.22,174.27,1579355999999
1579356000000,174.24,179.57,174.24,177.39,1579359599999
1579359600000,177.41,178.63,173.77,175.68,1579363199999
1579363200000,175.67,177.82,172.82,174.18,1579366799999
1579366800000,174.11,175.49,173.31,175.01,1579370399999
1579370400000,175.1,175.43,173.11,174.05,1579373999999
1579374000000,174.13,175.38,173.73,175.16,1579377599999
1579377600000,175.16,176.0,174.65,175.76,1579381199999
1579381200000,175.77,177.2,175.67,176.79,1579384799999
1579384800000,176.8,177.3,175.99,177.18,1579388399999
1579388400000,177.17,177.27,174.1,174.43,1579391999999
1579392000000,174.37,176.67,173.61,176.51,1579395599999
1579395600000,176.5,178.42,174.2,175.5,1579399199999
1579399200000,175.46,176.88,174.73,176.53,1579402799999
1579402800000,176.57,177.9,176.19,176.4,1579406399999
1579406400000,176.38,176.61,175.72,176.05,1579409999999
1579410000000,176.02,176.77,175.26,176.23,1579413599999
1579413600000,176.23,176.86,174.72,175.45,1579417199999
1579417200000,175.43,177.06,174.65,176.73,1579420799999
1579420800000,176.7,177.07,176.1,176.66,1579424399999
1579424400000,176.67,177.56,175.02,175.75,1579427999999
1579428000000,175.73,176.0,174.38,174.49,1579431599999
1579431600000,174.58,174.6,164.33,166.87,1579435199999
1579435200000,166.8,166.8,162.54,165.51,1579438799999
1579438800000,165.54,165.54,161.81,164.57,1579442399999
1579442400000,164.57,166.11,164.14,164.63,1579445999999
1579446000000,164.62,165.57,163.66,164.96,1579449599999
1579449600000,164.96,166.4,164.36,165.38,1579453199999
1579453200000,165.35,165.77,164.86,165.37,1579456799999
1579456800000,165.37,165.43,164.07,164.54,1579460399999
1579460400000,164.51,165.47,164.08,165.16,1579463999999
1579464000000,165.11,165.33,164.3,164.68,1579467599999
1579467600000,164.75,166.39,164.39,166.14,1579471199999
1579471200000,166.08,167.31,163.63,166.35,1579474799999
1579474800000,166.33,167.78,165.87,167.04,1579478399999
1579478400000,167.04,167.9,165.29,165.97,1579481999999
1579482000000,165.95,166.67,165.36,165.65,1579485599999
1579485600000,165.66,166.15,165.31,165.73,1579489199999
1579489200000,165.72,165.98,165.45,165.85,1579492799999
1579492800000,165.96,166.59,164.5,165.01,1579496399999
1579496400000,164.98,166.0,164.95,165.89,1579499999999
1579500000000,165.91,166.45,165.76,166.04,1579503599999
1579503600000,166.06,166.65,165.35,165.8,1579507199999
1579507200000,165.81,166.4,164.49,165.53,1579510799999
1579510800000,165.51,165.86,164.47,164.89,1579514399999
1579514400000,164.94,165.53,164.81,165.15,1579517999999
1579518000000,165.15,165.41,162.53,163.24,1579521599999
1579521600000,163.3,164.34,162.14,162.8,1579525199999
1579525200000,162.76,165.31,161.5,164.24,1579528799999
1579528800000,164.28,166.94,163.99,166.31,1579532399999
1579532400000,166.4,167.23,165.75,167.03,1579535999999
1579536000000,166.98,167.97,166.17,167.02,1579539599999
1579539600000,167.09,167.27,166.36,166.47,1579543199999
1579543200000,166.47,167.08,166.36,166.76,1579546799999
1579546800000,166.76,167.96,166.7,167.75,1579550399999
1579550400000,167.75,167.95,166.99,167.44,1579553999999
1579554000000,167.42,167.43,167.08,167.42,1579557599999
1579557600000,167.42,169.48,167.26,167.64,1579561199999
1579561200000,167.68,168.19,166.86,167.03,1579564799999
1579564800000,167.01,167.34,165.73,166.51,1579568399999
1579568400000,166.6,167.28,166.48,167.25,1579571999999
1579572000000,167.26,167.8,167.05,167.5,1579575599999
1579575600000,167.53,168.5,167.41,168.46,1579579199999
1579579200000,168.42,168.9,167.9,168.03,1579582799999
1579582800000,167.98,168.06,166.83,167.38,1579586399999
1579586400000,167.37,167.85,166.91,167.45,1579589999999
1579590000000,167.39,167.51,166.41,166.75,1579593599999
1579593600000,166.73,167.47,166.06,167.26,1579597199999
1579597200000,167.26,168.3,166.78,166.97,1579600799999
1579600800000,166.92,168.27,166.65,168.15,1579604399999
1579604400000,168.15,168.81,167.58,168.13,1579607999999
1579608000000,168.12,168.72,167.5,168.27,1579611599999
1579611600000,168.27,169.4,168.07,169.0,1579615199999
1579615200000,169.04,169.1,168.27,168.39,1579618799999
1579618800000,168.42,169.23,168.04,168.27,1579622399999
1579622400000,168.3,168.63,166.9,167.93,1579625999999
1579626000000,167.84,168.19,167.39,167.85,1579629599999
1579629600000,167.89,168.0,166.5,167.25,1579633199999
1579633200000,167.27,167.67,165.02,165.25,1579636799999
1579636800000,165.31,168.72,165.27,168.43,1579640399999
1579640400000,168.41,170.34,168.41,169.3,1579643999999
1579644000000,169.25,169.59,168.32,169.42,1579647599999
1579647600000,169.42,169.99,168.94,169.52,1579651199999
1579651200000,169.62,170.18,169.47,169.85,1579654799999
1579654800000,169.89,169.91,168.95,169.25,1579658399999
1579658400000,169.23,169.5,167.99,168.71,1579661999999
1579662000000,168.72,169.49,168.38,168.77,1579665599999
1579665600000,168.8,169.7,168.77,169.53,1579669199999
1579669200000,169.53,169.6,168.98,169.06,1579672799999
1579672800000,169.07,170.08,169.02,169.91,1579676399999
1579676400000,169.99,171.61,169.05,169.38,1579679999999
1579680000000,169.4,169.69,167.09,168.63,1579683599999
1579683600000,168.65,169.32,168.0,169.11,1579687199999
1579687200000,169.13,169.15,168.23,168.5,1579690799999
1579690800000,168.5,168.64,167.13,168.14,1579694399999
1579694400000,168.14,168.38,167.61,168.11,1579697999999
1579698000000,168.1,168.11,166.12,166.55,1579701599999
1579701600000,166.6,167.55,166.25,166.96,1579705199999
1579705200000,166.97,167.98,166.88,167.59,1579708799999
1579708800000,167.59,169.2,166.71,168.53,1579712399999
1579712400000,168.48,168.98,167.7,168.42,1579715999999
1579716000000,168.48,168.48,167.67,168.14,1579719599999
1579719600000,168.09,168.43,167.42,168.16,1579723199999
1579723200000,168.14,168.34,167.64,168.23,1579726799999
1579726800000,168.29,168.36,167.85,168.09,1579730399999
1579730400000,168.04,168.18,167.59,167.7,1579733999999
1579734000000,167.69,168.34,167.58,168.19,1579737599999
1579737600000,168.24,168.38,166.91,167.36,1579741199999
1579741200000,167.39,167.6,165.0,165.08,1579744799999
1579744800000,165.07,166.13,164.36,166.07,1579748399999
1579748400000,166.07,166.24,165.55,165.63,1579751999999
1579752000000,165.61,165.67,164.38,164.85,1579755599999
1579755600000,164.86,164.92,162.89,164.12,1579759199999
1579759200000,164.11,164.37,163.39,164.07,1579762799999
1579762800000,164.02,165.46,163.48,165.05,1579766399999
1579766400000,165.05,165.8,163.9,163.94,1579769999999
1579770000000,163.96,164.13,163.13,163.61,1579773599999
1579773600000,163.68,164.06,162.59,163.68,1579777199999
1579777200000,163.68,163.73,162.78,162.86,1579780799999
1579780800000,162.86,163.51,161.86,162.96,1579784399999
1579784400000,162.92,162.92,161.16,161.74,1579787999999
1579788000000,161.81,162.55,161.37,162.31,1579791599999
1579791600000,162.34,164.0,162.15,163.28,1579795199999
1579795200000,163.28,163.55,162.13,162.58,1579798799999
1579798800000,162.54,163.67,161.24,161.92,1579802399999
1579802400000,161.95,161.98,159.41,160.03,1579805999999
1579806000000,159.97,161.17,159.63,160.7,1579809599999
1579809600000,160.78,161.5,160.03,161.3,1579813199999
1579813200000,161.28,163.39,161.13,162.63,1579816799999
1579816800000,162.62,163.63,162.59,163.14,1579820399999
1579820400000,163.13,163.37,161.9,162.97,1579823999999
1579824000000,162.97,163.65,162.26,163.28,1579827599999
1579827600000,163.27,163.58,161.5,161.56,1579831199999
1579831200000,161.56,161.83,158.0,158.78,1579834799999
1579834800000,158.75,160.08,158.44,159.14,1579838399999
1579838400000,159.12,159.98,158.39,158.54,1579841999999
1579842000000,158.51,159.89,158.5,159.58,1579845599999
1579845600000,159.57,160.17,158.91,159.67,1579849199999
1579849200000,159.7,159.95,158.61,159.32,1579852799999
1579852800000,159.41,159.41,158.64,159.01,1579856399999
1579856400000,159.06,159.3,155.93,156.34,1579859999999
1579860000000,156.32,157.66,155.82,156.48,1579863599999
1579863600000,156.49,161.2,155.72,160.79,1579867199999
1579867200000,160.83,162.15,160.14,161.49,1579870799999
1579870800000,161.51,162.12,160.13,161.81,1579874399999
1579874400000,161.89,163.5,161.27,162.15,1579877999999
1579878000000,162.17,163.2,161.34,162.72,1579881599999
1579881600000,162.75,163.31,161.06,161.06,1579885199999
1579885200000,161.1,161.76,160.75,161.32,1579888799999
1579888800000,161.32,162.72,161.18,161.91,1579892399999
1579892400000,161.91,164.65,161.64,163.87,1579895999999
1579896000000,163.86,164.51,162.76,163.49,1579899599999
1579899600000,163.52,163.94,163.19,163.4,1579903199999
1579903200000,163.4,163.49,162.09,163.16,1579906799999
1579906800000,163.2,164.18,162.22,162.63,1579910399999
1579910400000,162.66,162.69,158.2,158.79,1579913999999
1579914000000,158.74,159.5,157.8,158.74,1579917599999
1579917600000,158.74,159.66,158.41,159.41,1579921199999
1579921200000,159.45,160.0,158.83,159.15,1579924799999
1579924800000,159.15,160.76,158.85,159.56,1579928399999
1579928400000,159.6,160.13,158.81,159.84,1579931999999
1579932000000,159.78,160.35,159.45,159.58,1579935599999
1579935600000,159.6,160.36,159.44,159.79,1579939199999
1579939200000,159.72,161.63,159.67,161.35,1579942799999
1579942800000,161.35,161.54,160.25,160.63,1579946399999
1579946400000,160.68,161.08,159.0,159.63,1579949999999
1579950000000,159.63,159.98,159.02,159.49,1579953599999
1579953600000,159.49,159.97,159.0,159.05,1579957199999
1579957200000,159.03,161.19,159.0,160.25,1579960799999
1579960800000,160.26,161.17,160.11,160.22,1579964399999
1579964400000,160.2,160.8,159.84,160.59,1579967999999
1579968000000,160.61,161.7,160.14,161.25,1579971599999
1579971600000,161.27,161.58,160.54,160.64,1579975199999
1579975200000,160.64,161.16,160.26,160.83,1579978799999
1579978800000,160.89,161.54,160.77,161.16,1579982399999
1579982400000,161.23,161.46,160.86,161.41,1579985999999
1579986000000,161.41,162.54,161.18,161.78,1579989599999
1579989600000,161.78,163.0,161.13,161.32,1579993199999
1579993200000,161.29,162.03,160.26,160.52,1579996799999
1579996800000,160.5,160.73,159.5,160.31,1580000399999
1580000400000,160.29,161.22,159.95,160.48,1580003999999
1580004000000,160.46,160.46,159.75,159.86,1580007599999
1580007600000,159.86,162.0,159.78,161.32,1580011199999
1580011200000,161.38,161.38,160.5,161.03,1580014799999
1580014800000,161.03,161.88,160.97,161.21,1580018399999
1580018400000,161.15,161.6,160.75,160.98,1580021999999
1580022000000,160.97,161.41,160.81,161.33,1580025599999
1580025600000,161.38,163.84,161.01,162.59,1580029199999
1580029200000,162.59,163.1,161.81,162.52,1580032799999
1580032800000,162.48,163.4,162.13,162.96,1580036399999
1580036400000,163.03,163.5,162.72,163.3,1580039999999
1580040000000,163.31,164.0,163.01,163.63,1580043599999
1580043600000,163.68,163.99,162.88,163.41,1580047199999
1580047200000,163.41,163.8,163.03,163.44,1580050799999
1580050800000,163.44,164.08,163.03,163.44,1580054399999
1580054400000,163.48,164.87,163.24,164.86,1580057999999
1580058000000,164.86,166.77,164.64,166.46,1580061599999
1580061600000,166.5,167.13,166.0,166.47,1580065199999
1580065200000,166.48,166.6,165.88,166.25,1580068799999
1580068800000,166.23,167.7,166.13,166.64,1580072399999
1580072400000,166.67,167.7,166.56,167.34,1580075999999
1580076000000,167.34,168.0,166.63,167.18,1580079599999
1580079600000,167.2,168.16,167.0,167.9,1580083199999
1580083200000,167.98,169.94,167.96,168.6,1580086799999
1580086800000,168.57,169.68,168.25,168.34,1580090399999
1580090400000,168.37,168.49,167.56,167.8,1580093999999
1580094000000,167.8,168.12,167.5,167.8,1580097599999
1580097600000,167.8,168.73,166.57,167.12,1580101199999
1580101200000,167.12,167.75,166.55,167.26,1580104799999
1580104800000,167.26,167.96,167.0,167.45,1580108399999
1580108400000,167.45,167.71,167.1,167.54,1580111999999
1580112000000,167.47,167.47,165.28,165.94,1580115599999
1580115600000,165.89,166.83,165.5,166.61,1580119199999
1580119200000,166.65,167.53,165.9,166.12,1580122799999
1580122800000,166.06,169.11,165.93,168.64,1580126399999
1580126400000,168.67,170.3,168.3,169.66,1580129999999
1580130000000,169.68,171.0,168.86,169.25,1580133599999
1580133600000,169.25,170.27,168.86,170.14,1580137199999
1580137200000,170.16,170.94,169.67,170.1,1580140799999
1580140800000,170.14,171.35,169.19,170.44,1580144399999
1580144400000,170.42,171.34,169.58,169.8,1580147999999
1580148000000,169.82,171.47,169.27,171.45,1580151599999
1580151600000,171.43,171.82,170.42,171.38,1580155199999
1580155200000,171.38,172.23,171.16,172.1,1580158799999
1580158800000,172.14,172.26,170.78,171.71,1580162399999
1580162400000,171.7,171.82,169.78,170.34,1580165999999
1580166000000,170.34,171.0,170.06,170.21,1580169599999
1580169600000,170.25,172.99,170.22,171.72,1580173199999
1580173200000,171.69,174.34,171.69,173.67,1580176799999
1580176800000,173.66,173.82,172.78,173.47,1580180399999
1580180400000,173.47,173.47,172.31,173.22,1580183999999
1580184000000,173.3,173.94,172.39,172.64,1580187599999
1580187600000,172.62,172.95,171.42,172.32,1580191199999
1580191200000,172.33,172.53,171.07,171.7,1580194799999
1580194800000,171.73,173.09,171.45,172.18,1580198399999
1580198400000,172.15,172.15,171.11,171.29,1580201999999
1580202000000,171.29,171.72,170.77,171.01,1580205599999
1580205600000,171.01,172.78,170.37,172.11,1580209199999
1580209200000,172.15,173.4,171.67,172.25,1580212799999
1580212800000,172.25,172.4,170.82,171.84,1580216399999
1580216400000,171.85,173.05,171.48,172.4,1580219999999
1580220000000,172.4,175.22,172.28,172.56,1580223599999
1580223600000,172.55,173.22,171.0,172.58,1580227199999
1580227200000,172.6,173.33,171.3,171.44,1580230799999
1580230800000,171.4,171.86,170.47,171.35,1580234399999
1580234400000,171.34,172.05,171.0,171.21,1580237999999
1580238000000,171.21,172.15,170.82,171.57,1580241599999
1580241600000,171.54,173.1,171.54,172.77,1580245199999
1580245200000,172.78,174.38,172.27,172.27,1580248799999
1580248800000,172.3,174.71,172.3,174.01,1580252399999
1580252400000,174.03,176.7,173.57,175.88,1580255999999
1580256000000,175.89,177.34,175.53,176.15,1580259599999
1580259600000,176.13,177.97,176.13,177.25,1580263199999
1580263200000,177.3,177.63,175.88,176.12,1580266799999
1580266800000,176.13,177.14,176.1,176.7,1580270399999
1580270400000,176.76,177.45,176.15,176.66,1580273999999
1580274000000,176.68,177.39,176.54,177.09,1580277599999
1580277600000,177.07,178.85,177.05,177.59,1580281199999
1580281200000,177.59,178.55,177.07,178.23,1580284799999
1580284800000,178.24,178.69,177.84,178.64,1580288399999
1580288400000,178.62,178.63,176.31,176.6,1580291999999
1580292000000,176.6,178.36,174.53,178.0,1580295599999
1580295600000,178.0,178.14,175.24,176.39,1580299199999
1580299200000,176.36,176.52,175.0,175.78,1580302799999
1580302800000,175.84,176.8,175.26,176.01,1580306399999
1580306400000,176.01,176.72,175.36,176.7,1580309999999
1580310000000,176.72,176.73,175.16,175.35,1580313599999
1580313600000,175.35,177.42,174.81,177.09,1580317199999
1580317200000,177.02,177.16,176.2,176.35,1580320799999
1580320800000,176.35,176.93,176.21,176.64,1580324399999
